sample_accession,run_accession,library_layout,organism,Platform,UMI,study_accession,Tissue,Covariate,Age,integration_group,TissueNote,Source,bam10x,Comment,biosample,Donor,Organ,sex,Batch,biosample_title,retina_region,strain,batch
#SRS5055866,SRR9632697,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201413,NA,Eye,NA,NA,Per_R39_C16,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055865,SRR9632696,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201414,NA,Eye,NA,NA,Per_R39_C13,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055864,SRR9632695,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201415,NA,Eye,NA,NA,Per_R39_C12,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055862,SRR9632694,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201416,NA,Eye,NA,NA,Per_R38_C66,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055863,SRR9632693,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201417,NA,Eye,NA,NA,Per_R38_C65,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055861,SRR9632692,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201418,NA,Eye,NA,NA,Per_R38_C64,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055860,SRR9632691,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201507,NA,Eye,NA,NA,Per_R38_C43,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055858,SRR9632690,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201508,NA,Eye,NA,NA,Per_R38_C37,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055859,SRR9631697,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201929,NA,Eye,NA,NA,Mac_R48_C49,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055857,SRR9631696,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201930,NA,Eye,NA,NA,Mac_R48_C35,NA,NA,SRP212788_SCRBSeq_P3
